familia_variacao,linha,banda,litros,medida_cm,preco,SKU,ASIN,categoria_atual,titulo
Aro Polido · Residencial,Aro Polido,Residencial,3,16x18,104.9,L1618-A,B0H4NRG51Q,TRASH_CAN,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório
Aro Polido · Residencial,Aro Polido,Residencial,5,16x23,120.9,L1623-A,B0H6XX9VYL,TRASH_CAN,Lixeira Aço Inox 5 Litros com Aro 16x23 cm Redonda Polida Prateada para Banheiro e Lavabo
Aro Polido · Residencial,Aro Polido,Residencial,7,20x25,127.9,L2025-A,B0H6XYM5GF,TRASH_CAN,"Lixeira Aço Inox 7 Litros com Aro 20x25 cm Redonda para Banheiro, Lavabo e Escritório"
Aro Polido · Residencial,Aro Polido,Residencial,10,20x30,141.9,L2030-A,B0H6XW8YF8,TRASH_CAN,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório
Aro Polido · Residencial,Aro Polido,Residencial,13,24x25,160.08,L2425-A,B0H6XV8Z59,HOME,Lixeira Aro em Aço Inox 13 Litros 24x25 cm Redonda Polida para Banheiro Cozinha e Escritório
Aro Polido · Residencial,Aro Polido,Residencial,15,24x30,178.49,L2430-A,B0H6XM9LGJ,HOME,Lixeira Aro em Aço Inox 15 Litros Redonda 24x30 cm para Banheiro Cozinha Escritório
Aro Polido · Residencial,Aro Polido,Residencial,20,24x40,202.69,L2440-A,B0H538CW36,HOME,Lixeira Aro em Aço Inox Polido 20 Litros 24x40 centímetros Prateada para Uso Interno
Basculante · Comercial,Basculante,Comercial,25,,284.39,L2450-B,B0H6KLWTPC,TRASH_CAN,Lixeira Basculante Inox 25 Litros 24x50 Redonda Vai e Vem Tampa Flip Top Aço Inox Polido
Basculante · Comercial,Basculante,Comercial,27,24x60,299.31,L2460-B,B0H6KTGGM8,TRASH_CAN,Lixeira Basculante em Aço Inox Redonda 27 Litros 24x60 cm Flip Top para Uso Interno
Basculante · Comercial,Basculante,Comercial,30,24x70,398.35,L2470-B,B0H4W81CPN,TRASH_CAN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno
Basculante · Comercial,Basculante,Comercial,30,30x40,330.79,L3040-B,B0H5MGK37B,TRASH_CAN,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno
Basculante · Comercial,Basculante,Comercial,35,30x50,413.32,L3050-B,B0H6KFGC4J,TRASH_CAN,Lixeira Basculante em Aço Inox Redonda 35 Litros 30x50 cm Flip Top para Uso Interno
Basculante · Comercial,Basculante,Comercial,40,30x60,439.24,L3060-B,B0H6KK21H1,HOME,Lixeira Basculante em Aço Inox 40 Litros 30x60 cm Redonda Flip Top para Uso Interno
Basculante · Comercial,Basculante,Comercial,50,30x70,543.85,L3070-B,B0H6KN61XR,TRASH_CAN,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio
Basculante · Comercial,Basculante,Comercial,60,30x85,642.24,L3085-B,B0H51PF33S,TRASH_CAN,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem
Basculante · Industrial,Basculante,Industrial,62,40x50,650.63,L4050-B,B0H6GXK1SH,TRASH_CAN,Lixeira Basculante em Aço Inox 62 Litros 40x50 cm Redonda Tampa Vai e Vem para Uso Interno
Basculante · Industrial,Basculante,Industrial,75,40x60,691.86,L4060-B,B0H6H4NPN8,TRASH_CAN,Lixeira Basculante em Aço Inox 75 Litros 40x60 cm Redonda Tampa Vai e Vem para Uso Interno
Basculante · Industrial,Basculante,Industrial,88,40x70,712.14,L4070-B,B0H6H5CBPP,TRASH_CAN,Lixeira Basculante Vai e Vem em Aço Inox 88 Litros 40x70 cm Redonda para Uso Interno
Basculante · Industrial,Basculante,Industrial,95,40x75,810.5,L4075-B,B0H6H2BTKC,TRASH_CAN,Lixeira Basculante em Aço Inox 95 Litros 40x75 cm Redonda Tampa Vai e Vem para Uso Interno
Basculante · Industrial,Basculante,Industrial,100,40x80,831.06,L4080-B,B0H6GSX6YM,TRASH_CAN,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno
Basculante · Industrial,Basculante,Industrial,120,40x90,895.15,L4090-B,B0H6GQB9S3,TRASH_CAN,Lixeira Basculante em Aço Inox 120 Litros 40x90 cm Redonda Tampa Vai e Vem para Uso Interno
Basculante · Residencial,Basculante,Residencial,3,16x18,129.9,L1618-B,B0H6KPN1XS,TRASH_CAN,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha
Basculante · Residencial,Basculante,Residencial,5,16x23,137.9,L1623-B,B0H6KT72NN,TRASH_CAN,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha
Basculante · Residencial,Basculante,Residencial,7,20x25,139.9,L2025-B,B0H6L3552G,TRASH_CAN,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno
Basculante · Residencial,Basculante,Residencial,10,20x30,153.72,L2030-B,B0H4RV67FF,TRASH_CAN,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório
Basculante · Residencial,Basculante,Residencial,13,24x25,183.28,L2425-B,B0H6KPK494,TRASH_CAN,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro
Basculante · Residencial,Basculante,Residencial,15,24x30,198.03,L2430-B,B0H6KY3BZD,TRASH_CAN,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno
Basculante · Residencial,Basculante,Residencial,20,24x40,231.66,L2440-B,B0H5M7DCH6,TRASH_CAN,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro
Com Tampa (pitão),Com Tampa (pitão),(todos),3,16x18,116,L1618-T,B0H3QQLFFY,TRASH_CAN,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro
Com Tampa (pitão),Com Tampa (pitão),(todos),5,16x23,123.93,L1623-T,B0H6C894TV,TRASH_CAN,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório"
Com Tampa (pitão),Com Tampa (pitão),(todos),7,20x25,132.9,L2025-T,B0H6C5CTSC,TRASH_CAN,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha
Com Tampa (pitão),Com Tampa (pitão),(todos),10,20x30,143.13,L2030-T,B0H77661G6,TRASH_CAN,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório
Embutir · Residencial,Embutir,Residencial,3,,195.21,EMB-03,B0H52SC552,TRASH_CAN,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena
Embutir · Residencial,Embutir,Residencial,3,,245.9,EMB-03P,B0H73CH37Y,TRASH_CAN,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena
Embutir · Residencial,Embutir,Residencial,5,,244.9,EMB-05,B0H761RP63,TRASH_CAN,Lixeira de Embutir Redonda 5L em Aço Inox para Pia de Cozinha com Balde Interno
Embutir · Residencial,Embutir,Residencial,5,,290,EMB-05P,B0H77J9YF2,TRASH_CAN,Lixeira de Embutir Inox 5L com Tampa Preta para Pia de Cozinha com Balde Interno
Embutir · Residencial,Embutir,Residencial,8,,344.76,EMB-08,B0H77M42RM,TRASH_CAN,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio
Meia Lua · Comercial,Meia Lua,Comercial,25,24x50,259.9,L2450-AML,B0H62YWD84,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno
Meia Lua · Comercial,Meia Lua,Comercial,27,24x60,290.17,L2460-AML,B0H6NM3QBS,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno
Meia Lua · Comercial,Meia Lua,Comercial,30,24x70,408.32,L2470-AML,B0H6NCDJ5C,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 30 Litros 24x70 centímetros Prateada para Uso Interno
Meia Lua · Comercial,Meia Lua,Comercial,40,30x60,446.71,L3060-AML,B0H6NFGH2Q,TRASH_CAN,Lixeira Meia Lua em Aço Inox 40 Litros 30x60 cm Redonda Polida para Cozinha Banheiro Escritório
Meia Lua · Comercial,Meia Lua,Comercial,50,30x70,526.32,L3070-AML,B0H6NPM4QL,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 50 Litros 30x70 cm Polida para Cozinha e Escritório
Meia Lua · Residencial,Meia Lua,Residencial,13,24x25,174.24,L2425-AML,B0H6N9SS25,TRASH_CAN,"Lixeira Aro Meia Lua em Aço Inox 13 Litros 24x25 cm Prateada para Banheiro, Lavabo e Escritório"
Meia Lua · Residencial,Meia Lua,Residencial,15,,186.36,L2430-AML,B0H6MYJ5P3,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 24x30 15 Litros Escritório e Banheiro Design Compacto
Meia Lua · Residencial,Meia Lua,Residencial,20,24x40,228.04,L2440-AML,B0H4RY2L65,TRASH_CAN,Lixeira Aro Meia Lua em Aço Inox 20 Litros 24x40 cm Prateada para Uso Interno
Pedal c/ Alça · Comercial,Pedal c/ Alça,Comercial,40,30x50,623.5,P3050ALC,B0H6C92MLT,TRASH_CAN,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório
Pedal c/ Alça · Comercial,Pedal c/ Alça,Comercial,50,30x60,629.08,P3060ALC,B0H5LJ939G,TRASH_CAN,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno
Pedal c/ Alça · Comercial,Pedal c/ Alça,Comercial,60,,840.63,P3070ALC,B0H735FC9N,TRASH_CAN,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,65,40x50,912.46,P4050ALC,B0H6GWVPP5,TRASH_CAN,Lixeira em Aço Inox com Pedal e Alças 65 Litros 40x50 cm Redonda para Uso Profissional
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,75,40x60,988.28,P4060ALC,B0H6H25KJX,TRASH_CAN,Lixeira em Aço Inox com Pedal e Alças 75 Litros 40x60 cm Redonda para Uso Interno
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,80,40x70,1025.83,P4070ALC,B0H6H1W988,TRASH_CAN,Lixeira Inox com Pedal e Alça 80 Litros 40x70 cm Redonda Prateada para Uso Interno
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,95,40x75,1135.46,P4075ALC,B0H72BV1KC,TRASH_CAN,Lixeira com Pedal em Aço Inox 95 Litros 40x75 cm com Alças para Hospital Hotel e Restaurante
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,100,40x80,1217.17,P4080ALC,B0H72HJC34,TRASH_CAN,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante
Pedal c/ Alça · Industrial,Pedal c/ Alça,Industrial,120,,1527.88,P4090ALC,B0H72JR46M,TRASH_CAN,Lixeira Inox 120L com Pedal e Alças 40x90 Aço Inoxidável Polido Hospital Hotel Shopping
Pedal · Comercial,Pedal,Comercial,30,30x40,380.01,P3040,B0H7LFY3JP,TRASH_CAN,Lixeira com Pedal em Aço Inox 30 Litros 30x40 cm Redonda Polida com Aro Removível
Pedal · Comercial,Pedal,Comercial,40,30x50,467.67,P3050,B0H6365DBF,TRASH_CAN,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica
Pedal · Comercial,Pedal,Comercial,50,30x60,511.42,P3060,B0H4NLBG1Y,TRASH_CAN,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório
Pedal · Comercial,Pedal,Comercial,60,30x70,616.18,P3070,B0H63FKGPJ,TRASH_CAN,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido
Pedal · Industrial,Pedal,Industrial,65,40x50,701.76,P4050,B0H5MWNDKW,TRASH_CAN,Lixeira com Pedal em Aço Inox 430 65 Litros 40x50 cm Redonda para Cozinha e Uso Profissional
Pedal · Industrial,Pedal,Industrial,75,40x60,811.94,P4060,B0H7KTWPXB,TRASH_CAN,Lixeira com Pedal em Aço Inox 75 Litros 40x60 cm Redonda Polida para Uso Interno
Pedal · Industrial,Pedal,Industrial,80,40x70,820.96,P4070,B0H7L3J5DK,TRASH_CAN,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno
Pedal · Industrial,Pedal,Industrial,95,40x75,923.64,P4075,B0H7KZNQ9G,TRASH_CAN,Lixeira com Pedal em Aço Inox 95 Litros 40x75 cm Redonda Polida para Uso Interno
Pedal · Industrial,Pedal,Industrial,100,40x80,1070.17,P4080,B0H63W8G49,TRASH_CAN,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional
Pedal · Industrial,Pedal,Industrial,120,40x90,1433.32,P4090,B0H7KTX9Y2,TRASH_CAN,Lixeira com Pedal em Aço Inox 120 Litros 40x90 cm Redonda Polida para Uso Interno
Pedal · Residencial,Pedal,Residencial,5,16x23,165.4,P1623,B0H4WYYG1W,TRASH_CAN,"Lixeira com Pedal em Aço Inox 5 Litros 16x23 cm Redonda para Banheiro, Cozinha e Lavabo"
Pedal · Residencial,Pedal,Residencial,7,20x25,198.79,P2025,B0H7L6HYFW,TRASH_CAN,Lixeira com Pedal em Aço Inox Pequena 07L 20x25 cm Tampa com Abertura Higiênica
Pedal · Residencial,Pedal,Residencial,10,20x30,219.68,P2030,B0H51H5B4D,TRASH_CAN,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório
Pedal · Residencial,Pedal,Residencial,12,24x25,238.25,P2425,B0H7LG2168,TRASH_CAN,Lixeira Inox Polido com Pedal 12 Litros 24x25 cm para Banheiro Cozinha Escritório
Pedal · Residencial,Pedal,Residencial,15,24x30,244.29,P2430,B0H7KWNLZ4,TRASH_CAN,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato
Pedal · Residencial,Pedal,Residencial,20,24x40,273.11,P2440,B0H7LGF1WN,TRASH_CAN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica
Quadrada Aro,Quadrada Aro,(todos),15,24x30,231.21,Q2430-A,B0H7XXH5GV,TRASH_CAN,Lixeira Aro Quadrada em Aço Inox 15 Litros 24x30 cm Polida para Banheiro Escritório Cozinha
Quadrada Aro,Quadrada Aro,(todos),30,24x60,349.45,Q2460-A,B0H4P1FFWQ,TRASH_CAN,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos
Quadrada Aro,Quadrada Aro,(todos),50,30x60,580.52,Q3060-A,B0H51P391G,TRASH_CAN,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno
Quadrada Aro,Quadrada Aro,(todos),100,40x70,1053.17,Q4070-A,B0H7ZGZ8DK,TRASH_CAN,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível
Quadrada Basculante,Quadrada Basculante,(todos),15,24x30,273.9,Q2430-B,B0H4X43F5T,HOME,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem
Quadrada Basculante,Quadrada Basculante,(todos),30,24x60,360.97,Q2460-B,B0H7YNMBBK,HOME,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida
Quadrada Basculante,Quadrada Basculante,(todos),50,30x60,532.93,Q3060-B,B0H51M7C59,TRASH_CAN,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem
Quadrada Basculante,Quadrada Basculante,(todos),100,40x70,1116.81,Q4070-B,B0H7Z38T63,HOME,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida
Sem Tampa,Sem Tampa,(todos),3,16x18,93.9,L1618,B0H6C93M6Z,TRASH_CAN,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório
Sem Tampa,Sem Tampa,(todos),5,16x23,109.9,L1623,B0H5N4TR7B,TRASH_CAN,"Lixeira em Aço Inox 5 Litros 16x23 cm Redonda Sem Tampa para Pia, Cozinha e Escritório"
Sem Tampa,Sem Tampa,(todos),7,20x25,113.11,L2025,B0H4WPPLZB,TRASH_CAN,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha
Sem Tampa,Sem Tampa,(todos),10,20x30,119.22,L2030,B0H6CCHT65,TRASH_CAN,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha
